"Id","ProcessName","Path","StartTime","WorkingSetMB","PrivateMemoryMB","VirtualMemoryMB","PagedMemoryMB","CpuSeconds","Responding"
"1848","vmmemWSL",,,"1576.82","1580.02","8191.94","1580.02",,"True"
"19124","Code","C:\Users\Nrusingha\AppData\Local\Programs\Microsoft VS Code\Code.exe","01-06-2026 11:02:00","538.84","531.51","3524449.85","531.51","33.77","True"
"2052","OmenCommandCenterBackground","C:\Program Files\WindowsApps\AD2F1837.OMENCommandCenter_1101.2605.2.0_x64__v10z8vjag6ke6\OmenCommandCenterApp\OmenCommandCenterBackground.exe","01-06-2026 10:50:14","330.24","266.81","5825.09","266.81","55.47","True"
"18688","Code","C:\Users\Nrusingha\AppData\Local\Programs\Microsoft VS Code\Code.exe","01-06-2026 11:01:59","312.28","244.69","3540779.98","244.69","49.33","True"
"3872","Memory Compression",,,"299.14","0.86","341.88","0.86",,"True"
"19284","Code","C:\Users\Nrusingha\AppData\Local\Programs\Microsoft VS Code\Code.exe","01-06-2026 11:02:01","296.21","220.48","3539024.25","220.48","19.5","True"
"6976","explorer","C:\WINDOWS\Explorer.EXE","01-06-2026 10:48:58","262.05","216.26","2102718.05","216.26","65.98","True"
"5964","endpointprotection",,,"261.53","350.23","2103704.97","350.23",,"True"
"12608","StartMenuExperienceHost","C:\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe","01-06-2026 10:49:03","199.57","113.33","2137643.12","113.33","6.12","True"
"18480","Code","C:\Users\Nrusingha\AppData\Local\Programs\Microsoft VS Code\Code.exe","01-06-2026 11:01:59","195.08","165.5","2135053.24","165.5","17.8","True"
"4264","Taskmgr",,"01-06-2026 11:02:52","184.11","111.53","2101833.05","111.53","25.06","True"
"4116","SysInfoCap",,,"170.42","203.87","2101700.35","203.87",,"True"
"6704","Code","C:\Users\Nrusingha\AppData\Local\Programs\Microsoft VS Code\Code.exe","01-06-2026 11:01:58","167.16","121.8","3524783.48","121.8","26.88","True"
"16816","PhoneExperienceHost","C:\Program Files\WindowsApps\Microsoft.YourPhone_1.26032.102.0_x64__8wekyb3d8bbwe\PhoneExperienceHost.exe","01-06-2026 10:49:16","165.51","84.18","2134610.45","84.18","3.48","True"
"20404","codex","c:\Users\Nrusingha\.vscode\extensions\openai.chatgpt-26.527.31454-win32-x64\bin\windows-x86_64\codex.exe","01-06-2026 11:02:04","162.09","122.54","5465.29","122.54","28","True"
"1824","dwm",,,"158.28","185.14","2101943.97","185.14",,"True"
"12088","com.docker.backend","C:\Program Files\Docker\Docker\resources\com.docker.backend.exe","01-06-2026 11:01:43","153.81","138.29","5759.97","138.29","7.31","True"
"1528","Docker Desktop","C:\Program Files\Docker\Docker\frontend\Docker Desktop.exe","01-06-2026 11:01:43","149.36","126.14","3539390.52","126.14","3.83","True"
"15136","Docker Desktop","C:\Program Files\Docker\Docker\frontend\Docker Desktop.exe","01-06-2026 11:01:44","144.57","111.92","2151362.76","111.92","1.42","True"
"13376","Docker Desktop","C:\Program Files\Docker\Docker\frontend\Docker Desktop.exe","01-06-2026 11:01:44","142.01","75.77","3539055.96","75.77","17.88","True"
"19272","Code","C:\Users\Nrusingha\AppData\Local\Programs\Microsoft VS Code\Code.exe","01-06-2026 11:02:01","133.01","92.81","3524364.22","92.81","7.64","True"
"12600","SearchHost","C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\SearchHost.exe","01-06-2026 10:49:03","132.67","78.7","2151046.63","78.7","3.81","True"
"19292","Code","C:\Users\Nrusingha\AppData\Local\Programs\Microsoft VS Code\Code.exe","01-06-2026 11:02:01","132.13","98.38","3526056.41","98.38","0.81","True"
"7144","mysqld",,,"125.95","555.05","4824.36","555.05",,"True"
"19464","Code","C:\Users\Nrusingha\AppData\Local\Programs\Microsoft VS Code\Code.exe","01-06-2026 11:02:01","122.64","83.42","3524391.84","83.42","1.31","True"
"13736","msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\148.0.3967.96\msedgewebview2.exe","01-06-2026 10:49:05","120.62","44.72","2299297.98","44.72","2.8","True"
"19828","Code","C:\Users\Nrusingha\AppData\Local\Programs\Microsoft VS Code\Code.exe","01-06-2026 11:02:04","118.45","58.61","3522570.65","58.61","0.77","True"
"12704","msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\148.0.3967.96\msedgewebview2.exe","01-06-2026 10:49:11","104.32","65.28","3698719.38","65.28","1.44","True"
"7772","msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\148.0.3967.96\msedgewebview2.exe","01-06-2026 10:49:11","97.93","110.22","2249985.98","110.22","2.14","True"
"7744","powershell","C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe","01-06-2026 11:07:13","87.05","70.8","2101927.77","70.8","0.94","True"
"10124","CrossDeviceService","C:\Program Files\WindowsApps\MicrosoftWindows.CrossDevice_1.26032.83.0_x64__cw5n1h2txyewy\CrossDeviceService.exe","01-06-2026 10:49:01","86.51","23.4","2134199.37","23.4","3.2","True"
"15960","TextInputHost","C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\TextInputHost.exe","01-06-2026 10:49:13","86.03","57.87","2101810.07","57.87","1.38","True"
"15080","LockApp","C:\WINDOWS\SystemApps\Microsoft.LockApp_cw5n1h2txyewy\LockApp.exe","01-06-2026 10:49:08","84.88","56.34","2101745.29","56.34","1.75","True"
"10692","powershell","C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe","01-06-2026 11:05:21","80.21","66.82","2101940.57","66.82","0.36","True"
"4108","TouchpointAnalyticsClientService",,,"75.92","55.72","4792.14","55.72",,"True"
"5912","svchost",,,"74.25","35.04","2101522.96","35.04",,"True"
"12796","Widgets","C:\Program Files\WindowsApps\MicrosoftWindows.Client.WebExperience_526.1202.40.0_x64__cw5n1h2txyewy\Dashboard\Widgets.exe","01-06-2026 10:49:03","72.2","13.27","2150746.73","13.27","2.42","True"
"19904","powershell","C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe","01-06-2026 11:02:02","70.28","52.77","2101901.88","52.77","0.73","True"
"16320","msrdc","C:\Program Files\WSL\msrdc.exe","01-06-2026 11:01:46","65.36","88.87","2101704.38","88.87","0.62","True"
