"Id","ProcessName","Path","StartTime","WorkingSetMB","PrivateMemoryMB","VirtualMemoryMB","PagedMemoryMB","CpuSeconds","Responding"
"3872","Memory Compression",,,"1208.36","2.91","1327","2.91",,"True"
"1848","vmmemWSL",,,"705.35","1297.93","8191.94","1297.93",,"True"
"19284","Code","C:\Users\Nrusingha\AppData\Local\Programs\Microsoft VS Code\Code.exe","01-06-2026 11:02:01","530.45","571.01","3539072.54","571.01","1509.98","True"
"10848","chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","01-06-2026 11:09:44","366","369.34","3694811.34","369.34","344.44","True"
"19124","Code","C:\Users\Nrusingha\AppData\Local\Programs\Microsoft VS Code\Code.exe","01-06-2026 11:02:00","360.69","498.48","3524439.24","498.48","408.23","True"
"6976","explorer","C:\WINDOWS\Explorer.EXE","01-06-2026 10:48:58","296.55","369.66","2102988.6","369.66","293.28","True"
"18688","Code","C:\Users\Nrusingha\AppData\Local\Programs\Microsoft VS Code\Code.exe","01-06-2026 11:01:59","285.46","321.04","3542451.27","321.04","407.02","True"
"3556","chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","01-06-2026 11:09:37","264.76","146.51","2299398.33","146.51","209.48","True"
"11952","node","C:\Program Files\nodejs\node.exe","01-06-2026 11:36:44","237.57","361.41","14782.84","361.41","51.8","True"
"42960","brave","C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe","01-06-2026 12:32:08","201.86","137.55","2250120.73","137.55","86.25","True"
"18480","Code","C:\Users\Nrusingha\AppData\Local\Programs\Microsoft VS Code\Code.exe","01-06-2026 11:01:59","201.79","230.11","2135208.13","230.11","1033.48","True"
"5964","endpointprotection",,,"198.24","384.32","2103765.99","384.32",,"True"
"12608","StartMenuExperienceHost","C:\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe","01-06-2026 10:49:03","190.71","115.96","2137652.9","115.96","9.81","True"
"20404","codex","c:\Users\Nrusingha\.vscode\extensions\openai.chatgpt-26.527.31454-win32-x64\bin\windows-x86_64\codex.exe","01-06-2026 11:02:04","179.92","149.58","5824.18","149.58","1177.11","True"
"4264","Taskmgr",,"01-06-2026 11:02:52","177.15","129.38","2101878.3","129.38","1276.22","True"
"11160","chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","01-06-2026 12:25:25","159.96","112.52","3694763.27","112.52","30.52","True"
"6704","Code","C:\Users\Nrusingha\AppData\Local\Programs\Microsoft VS Code\Code.exe","01-06-2026 11:01:58","156.51","130.54","3524772.88","130.54","173.33","True"
"12088","com.docker.backend","C:\Program Files\Docker\Docker\resources\com.docker.backend.exe","01-06-2026 11:01:43","149.93","146.08","5756.98","146.08","167.14","True"
"1824","dwm",,,"138.77","247.69","2102196.37","247.69",,"True"
"4976","chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","01-06-2026 11:09:39","136.08","297.29","2250568.84","297.29","253.11","True"
"19272","Code","C:\Users\Nrusingha\AppData\Local\Programs\Microsoft VS Code\Code.exe","01-06-2026 11:02:01","132.65","110.22","3524367.14","110.22","23.73","True"
"1528","Docker Desktop","C:\Program Files\Docker\Docker\frontend\Docker Desktop.exe","01-06-2026 11:01:43","130.68","135.18","3539374.84","135.18","63.2","True"
