"Id","ProcessName","Path","StartTime","WorkingSetMB","PrivateMemoryMB","VirtualMemoryMB","PagedMemoryMB","CpuSeconds","Responding"
"1848","vmmemWSL",,,"719.68","1815.1","8191.94","1815.1",,"True"
"19124","Code","C:\Users\Nrusingha\AppData\Local\Programs\Microsoft VS Code\Code.exe","01-06-2026 11:02:00","617.3","885.66","3524456.92","885.66","2315.2","True"
"19284","Code","C:\Users\Nrusingha\AppData\Local\Programs\Microsoft VS Code\Code.exe","01-06-2026 11:02:01","489.16","1216.16","3539082.04","1216.16","5999.8","True"
"3872","Memory Compression",,,"411.13","5.22","1722.25","5.22",,"True"
"14444","chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","02-06-2026 02:25:14","405.47","331.85","3694829.58","331.85","54.52","True"
"18688","Code","C:\Users\Nrusingha\AppData\Local\Programs\Microsoft VS Code\Code.exe","01-06-2026 11:01:59","323.64","455.89","3542451.21","455.89","2724.61","True"
"20404","codex","c:\Users\Nrusingha\.vscode\extensions\openai.chatgpt-26.527.31454-win32-x64\bin\windows-x86_64\codex.exe","01-06-2026 11:02:04","310.01","620.47","5787.62","620.47","7309.91","True"
"21772","chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","02-06-2026 02:25:13","261.98","219.34","2250011.34","219.34","11.67","True"
"179548","chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","02-06-2026 02:25:13","219.23","84.74","2299281.3","84.74","8.69","True"
"1048","Code","C:\Users\Nrusingha\AppData\Local\Programs\Microsoft VS Code\Code.exe","01-06-2026 15:00:22","189.84","251.45","3522568.14","251.45","56.97","True"
"5964","endpointprotection",,,"185.11","435.95","2103860.27","435.95",,"True"
"6976","explorer","C:\WINDOWS\Explorer.EXE","01-06-2026 10:48:58","178","355.79","2103053.41","355.79","983.06","True"
"18480","Code","C:\Users\Nrusingha\AppData\Local\Programs\Microsoft VS Code\Code.exe","01-06-2026 11:01:59","170.38","281.76","2135215.87","281.76","5280.12","True"
"4264","Taskmgr",,"01-06-2026 11:02:52","120.8","147.95","2101947","147.95","6007.73","True"
"12088","com.docker.backend","C:\Program Files\Docker\Docker\resources\com.docker.backend.exe","01-06-2026 11:01:43","106.12","158.02","5765.22","158.02","570.05","True"
"1824","dwm",,,"105.93","317.21","2102245.19","317.21",,"True"
"6704","Code","C:\Users\Nrusingha\AppData\Local\Programs\Microsoft VS Code\Code.exe","01-06-2026 11:01:58","97.96","155.42","3524817.33","155.42","871.38","True"
"23136","powershell","C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe","02-06-2026 02:28:11","84.12","68.18","2101926.52","68.18","2.28","True"
"140","Secure System",,,"61.85","0.17","2.64","0.17",,"True"
"19272","Code","C:\Users\Nrusingha\AppData\Local\Programs\Microsoft VS Code\Code.exe","01-06-2026 11:02:01","50.95","132.82","3524367.2","132.82","139.09","True"
"165892","chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","02-06-2026 02:25:13","49.86","20.16","2249481.71","20.16","2.12","True"
"12796","Widgets","C:\Program Files\WindowsApps\MicrosoftWindows.Client.WebExperience_526.1202.40.0_x64__cw5n1h2txyewy\Dashboard\Widgets.exe","01-06-2026 10:49:03","42.42","17.44","2150741.97","17.44","37.03","True"
"5912","svchost",,,"37.12","36.32","2101524.46","36.32",,"True"
"19464","Code","C:\Users\Nrusingha\AppData\Local\Programs\Microsoft VS Code\Code.exe","01-06-2026 11:02:01","35.86","93.64","3524389.81","93.64","133.14","True"
"1528","Docker Desktop","C:\Program Files\Docker\Docker\frontend\Docker Desktop.exe","01-06-2026 11:01:43","35.42","134.4","3539372.66","134.4","157.16","True"
"184","Registry",,,"35.34","11.17","162.33","11.17",,"True"
"23508","chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","02-06-2026 02:25:16","33.3","18.79","3694685.67","18.79","0.09","True"
"17196","svchost",,,"30.36","45.82","2101560.56","45.82",,"True"
"13736","msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\148.0.3967.96\msedgewebview2.exe","01-06-2026 10:49:05","28.87","44.8","2299330.04","44.8","17.83","True"
"12600","SearchHost","C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\SearchHost.exe","01-06-2026 10:49:03","27.11","80.95","2151072.42","80.95","7.56","True"
"6316","mongod",,,"25.97","164.64","4464.67","164.64",,"True"
"10124","CrossDeviceService","C:\Program Files\WindowsApps\MicrosoftWindows.CrossDevice_1.26032.83.0_x64__cw5n1h2txyewy\CrossDeviceService.exe","01-06-2026 10:49:01","25.56","22.18","2134213.11","22.18","14.36","True"
"19292","Code","C:\Users\Nrusingha\AppData\Local\Programs\Microsoft VS Code\Code.exe","01-06-2026 11:02:01","25.54","124.26","3529420.33","124.26","194.91","True"
"5920","svchost",,,"24.18","39.41","2101587.23","39.41",,"True"
"1436","svchost",,,"23.93","16.96","2101452.64","16.96",,"True"
"12608","StartMenuExperienceHost","C:\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe","01-06-2026 10:49:03","23.93","116.83","2137654.86","116.83","15.08","True"
"15960","TextInputHost","C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\TextInputHost.exe","01-06-2026 10:49:13","21.71","58.12","2101814.86","58.12","23.09","True"
"2556","OverlayHelper",,"01-06-2026 10:48:51","21.43","67.27","4848.74","67.27","707.58","True"
"4164","svchost",,,"21.42","17.75","2101397.04","17.75",,"True"
"4888","com.docker.backend","C:\Program Files\Docker\Docker\resources\com.docker.backend.exe","01-06-2026 11:01:42","21.32","75.45","5537.14","75.45","18.09","True"
"10692","powershell","C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe","01-06-2026 11:05:21","20.95","63.19","2101930.61","63.19","21.16","True"
"4116","SysInfoCap",,,"20.8","205.75","2101698.25","205.75",,"True"
"14324","OneDrive.Sync.Service","C:\Program Files\Microsoft OneDrive\26.078.0426.0002\OneDrive.Sync.Service.exe","01-06-2026 14:01:55","20.37","94.98","2101687.21","94.98","92.12","True"
"19256","chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","02-06-2026 02:25:13","19.93","9.86","2249232.87","9.86","0.09","True"
"27888","SearchProtocolHost",,,"19.32","2.72","2101354.96","2.72",,"True"
"4108","TouchpointAnalyticsClientService",,,"19.21","56.91","4791.2","56.91",,"True"
"3352","svchost",,,"18.6","23.03","2101406.88","23.03",,"True"
"177900","WmiPrvSE",,,"17.84","6.39","2101336.28","6.39",,"True"
"18504","Code","C:\Users\Nrusingha\AppData\Local\Programs\Microsoft VS Code\Code.exe","01-06-2026 11:01:59","17.78","16.32","2134502.13","16.32","14.78","True"
