"Id","ProcessName","Path","StartTime","WorkingSetMB","PrivateMemoryMB","VirtualMemoryMB","PagedMemoryMB","CpuSeconds","Responding"
"1848","vmmemWSL",,,"541.43","1187.46","8191.94","1187.46",,"True"
"19284","Code","C:\Users\Nrusingha\AppData\Local\Programs\Microsoft VS Code\Code.exe","01-06-2026 11:02:01","446.64","1280.16","3539100.1","1280.16","7481.62","True"
"3872","Memory Compression",,,"346.63","5.79","1724.38","5.79",,"True"
"19124","Code","C:\Users\Nrusingha\AppData\Local\Programs\Microsoft VS Code\Code.exe","01-06-2026 11:02:00","306.03","549.38","3524465.3","549.38","3001.81","True"
"18688","Code","C:\Users\Nrusingha\AppData\Local\Programs\Microsoft VS Code\Code.exe","01-06-2026 11:01:59","287.11","481.36","3540795.14","481.36","3362.75","True"
"28052","chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","02-06-2026 12:35:38","240.39","208.8","3694763.17","208.8","436.59","True"
"6976","explorer","C:\WINDOWS\Explorer.EXE","01-06-2026 10:48:58","192.47","352.37","2103057.96","352.37","1456.69","True"
"20404","codex","c:\Users\Nrusingha\.vscode\extensions\openai.chatgpt-26.527.31454-win32-x64\bin\windows-x86_64\codex.exe","01-06-2026 11:02:04","180.81","239.86","5918.77","239.86","9796.16","True"
"5964","endpointprotection",,,"160.13","456.55","2103891.83","456.55",,"True"
"18480","Code","C:\Users\Nrusingha\AppData\Local\Programs\Microsoft VS Code\Code.exe","01-06-2026 11:01:59","130.14","256.73","2135253.93","256.73","7012.16","True"
"26396","chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","02-06-2026 11:12:26","124.11","85.77","2299256.66","85.77","112.67","True"
"1824","dwm",,,"114.27","346.11","2102281.45","346.11",,"True"
"4264","Taskmgr",,"01-06-2026 11:02:52","109.62","151.1","2101989.62","151.1","8586.12","True"
"26344","chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","02-06-2026 11:12:28","96.11","433.64","3694807.4","433.64","748.97","True"
"6704","Code","C:\Users\Nrusingha\AppData\Local\Programs\Microsoft VS Code\Code.exe","01-06-2026 11:01:58","92.87","153.04","3524825.33","153.04","1030.38","True"
"12088","com.docker.backend","C:\Program Files\Docker\Docker\resources\com.docker.backend.exe","01-06-2026 11:01:43","92.86","144.79","5777.22","144.79","809.06","True"
"181256","node","C:\Program Files\nodejs\node.exe","02-06-2026 02:42:08","85.1","235.42","14667.02","235.42","28.67","True"
"222452","powershell","C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe","02-06-2026 16:16:38","84.34","68.96","2101926.48","68.96","2.55","True"
"27916","chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","02-06-2026 11:12:27","74.43","163","2250066.04","163","250.36","True"
"12608","StartMenuExperienceHost","C:\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe","01-06-2026 10:49:03","70.47","116.21","2137652.87","116.21","18.47","True"
"17196","svchost",,,"65.24","80.66","2101562.57","80.66",,"True"
"140","Secure System",,,"61.85","0.17","2.64","0.17",,"True"
"12796","Widgets","C:\Program Files\WindowsApps\MicrosoftWindows.Client.WebExperience_526.1202.40.0_x64__cw5n1h2txyewy\Dashboard\Widgets.exe","01-06-2026 10:49:03","43.19","18.56","2150749.87","18.56","55.48","True"
"12704","msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\148.0.3967.96\msedgewebview2.exe","01-06-2026 10:49:11","42.79","76.98","3698712.76","76.98","10.19","True"
"14388","LockApp","C:\WINDOWS\SystemApps\Microsoft.LockApp_cw5n1h2txyewy\LockApp.exe","01-06-2026 13:10:33","41.77","61.43","2101750.1","61.43","12.92","True"
"19272","Code","C:\Users\Nrusingha\AppData\Local\Programs\Microsoft VS Code\Code.exe","01-06-2026 11:02:01","41.72","95.82","3524375.2","95.82","162.7","True"
"5920","svchost",,,"40.7","35.28","2101586.28","35.28",,"True"
"222564","HPSystemEventUtilityHost","C:\Program Files\WindowsApps\AD2F1837.HPSystemEventUtility_3.2.24.0_x64__v10z8vjag6ke6\SystemEventUtility\HPSystemEventUtilityHost.exe","02-06-2026 16:13:50","40.38","34.43","4804.88","34.43","0.28","True"
"5912","svchost",,,"35.97","35.96","2101515.39","35.96",,"True"
"1528","Docker Desktop","C:\Program Files\Docker\Docker\frontend\Docker Desktop.exe","01-06-2026 11:01:43","33.59","134.38","3539372.66","134.38","188.42","True"
